-0.358406 0     0.0514126 0
-0.401153 0.00123454     0.051127 4.61465e-05
-0.401186 0.00123239     0.0511288 4.60865e-05
-0.401187 0.00122982     0.0511271 4.60235e-05
-0.401211 0.00122749     0.0511287 4.59552e-05
-0.4012 0.00122499     0.0511266 4.59081e-05
-0.401174 0.00122272     0.0511254 4.58284e-05
-0.40109 0.00122307     0.0511253 4.57334e-05
-0.401129 0.00122117     0.0511259 4.56419e-05
-0.401197 0.00122051     0.0511261 4.55481e-05
-0.401275 0.00122051     0.051127 4.54641e-05
-0.401409 0.00122539     0.0511277 4.53764e-05
-0.40137 0.0012235     0.0511286 4.52909e-05
-0.401363 0.00122102     0.0511308 4.52542e-05
-0.401365 0.00121852     0.0511266 4.53528e-05
-0.401371 0.00121606     0.0511271 4.52624e-05
-0.401433 0.00121516     0.0511268 4.51711e-05
-0.401405 0.00121301     0.0511267 4.50794e-05
-0.401418 0.00121062     0.0511295 4.50707e-05
-0.401411 0.00120819     0.0511298 4.49808e-05
-0.401428 0.00120587     0.0511286 4.49054e-05
-0.401474 0.00120432     0.0511307 4.48611e-05
-0.401597 0.00120819     0.0511297 4.4781e-05
-0.401554 0.00120652     0.0511279 4.47299e-05
-0.401509 0.00120495     0.0511292 4.46596e-05
